icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
508279,UR-PSF,BOEING,Boeing,737NG 84R/W,B738,38120,,L2J,,UKRAINE INTERNATIONAL,AUI,,Ukraine International Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c02207,C-FMXA,,The Boeing Company,737-8 (Boeing),,43297,,,Sunwing Airlines,SUNWING,SWG,WG,Sunwing Airlines Inc.,,2018-05-25,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
0d07b3,XA-VOZ,AIRBUS,Airbus,A320 233SL,A320,5819,,L2J,,VOLARIS,VOI,,Volaris,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c7a8f,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
ad6f3a,N965FD,BOEING,Boeing,757-258,B752,27622,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2023-11-30,,1997-01-01,,,ROLLS-ROYC RB211-535E4,false,false,false,,High Vortex Large (aircraft such as B-757)
86d930,JA831J,BOEING,Boeing,787 8,B788,34847,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
3c6586,D-AILF,AIRBUS,Airbus,A319 114,A319,636,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c57d6,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a84a50,N633QS,CESSNA,Cessna,Citation XLS,C56X,560-5526,,L2J,,EXECJET,EJA,,Netjets,,,,,,,,,false,false,false,,
aa7b10,N7746C,BOEING,Boeing,737-7BD,B737,33934,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2022-07-31,,2007-01-01,,,CFM INTL CFM56-7B24,false,false,false,,No ADS-B Emitter Category Information
a3dc4b,N348P,LOT,Airbus Helicopters Inc,AS350B3,AS50,7998,,H1T,,,,,Phi Health Llc,,,2022-08-31,,2015-01-01,,,TURBOMECA ARRIEL 2D,false,false,false,,Rotorcraft
ac9c6d,N911WY,RACA,Md Helicopters Inc,369FF,H500,0144FF,,H1T,,,,,Las Vegas Metropolitan Police Department,,,2023-01-31,,2000-01-01,,,ALLISON 250-C30 SER,false,false,false,,No ADS-B Emitter Category Information
42436a,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a9b7d8,N725TR,RAYTHEON,Textron Aviation Inc,B300,B350,FL-1159,,L2T,,,,,Svp Aggregates Llc,,,2023-11-30,,2018-01-01,,,P&W CANADA PT6A-60A,false,false,false,,Light (< 15500 lbs)
a001b1,N1TF,,Gulfstream Aerospace Corp,GVI (G650),G650,6065,,,,,,,Tvpx Ars Inc Trustee,,,2023-10-31,,2013-01-01,,,ROLLS DEUT BR700-725A112,false,false,false,,Large (75000 to 300000 lbs)
780f3a,B-7347,BOEING,Boeing,Boeing 777-39P(ER),B77W,43278,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
750111,9M-AJS,AIRBUS,Airbus,A320 216,A320,4989,,L2J,,ASIAN EXPRESS,AXM,,Airasia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4d0239,LX-LXL,,Dassault,Falcon 900LX,F9LX,298,,,,,,,Global Jet Luxembourg Sa,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
899141,B-17006,ATR,Avions De Transport Regional,ATR 72 600,AT76,1101,,L2T,,Glory,UIA,,Uni Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780a28,B-LJF,BOEING,Boeing,Boeing 747-867F,B748,39243,,L4J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a63939,N50ST,TBM,Socata,TBM 700,TBM7,20,,L1T,,,,,Ajd Aviation Llc,,,2021-06-30,,1991-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
424403,VQ-BIL,BOEING,Boeing,Boeing 777-300(ER),B77W,41692,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,SU,Aeroflot Russian Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
800bd8,VT-JEV,BOEING,Boeing,777 35RER,B77W,35158,,L2J,,JET AIRWAYS,JAI,,Jet Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
acac14,N9153W,,Piper,PA 46-350P,,4622012,,,,,,,Jaw A1r Llc,,,2023-08-31,,,,,,false,false,false,,Light (< 15500 lbs)
4ca33d,EI-FEH,BOEING,The Boeing Company,BOEING 737-8AS,B738,44689,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2014-10-15,,,2014-01-01,,,2x CFM CFM56-7B26E,false,false,false,,No ADS-B Emitter Category Information
c01d3c,C-FLBV,BOEING,The Boeing Company,737-8CT (Boeing),B738,40836,,L2J,,WESTJET,WJA,,Swoop Inc.,,2018-10-01,,,,,,,false,false,false,,No ADS-B Emitter Category Information
e80418,CC-BAH,AIRBUS,Airbus,A320 233,A320,4549,,L2J,,LAN,LAN,,Latam Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0d04b9,XA-ABC,AIRBUS,Airbus,A320 214,A320,3690,,L2J,Interjet-abc,ABC AEROLINEAS,AIJ,4O,Interjet,F-WWBE,2008-12-19,,,2008-01-01,,,,false,false,false,,No ADS-B Emitter Category Information
a6e45a,N543PD,CESSNA,Cessna,525B,C25B,525B0458,,L2J,,,,,Hart Plus Llc,,,2023-10-31,,2014-01-01,,,WILLIAMS FJ44-3A,false,false,false,,Light (< 15500 lbs)
738043,4X-ELC,BOEING,Boeing,747 458,B744,27915,,L4J,,ELAL,ELY,,El Al,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a33368,N305RM,,Mooney Aircraft Corp.,M20K,,25-0746,,,,,,,Foxtrot Aviation Services Llc,,,2021-09-30,,1983-01-01,,,CONT MOTOR TSIO-360 SER,false,false,false,,Light (< 15500 lbs)
400d8c,G-EZAB,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2681,,L2J,,EASY,EZY,,Easyjet Airline,,2006-02-06,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,false,false,false,,No ADS-B Emitter Category Information
507c4b,UK67007,BOEING,Boeing,767 3CBER,B763,33469,,L2J,,UZBEK,UZB,,Uzbekistan Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
60080c,4K-AZ12,BOEING,Boeing,757 22L,B752,30834,,L2J,,AZAL,AHY,,Azerbaijan Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
79802d,B-6020,AIRBUS,Airbus,A319 132,A319,2004,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
40717b,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4d209b,9H-SFA,,Dassault,Falcon 2000EX EASy,F2EX,039,,,,,,,Skyfirst Ltd,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
ac08f5,N875AM,BOEING,Boeing,737-852,B738,36705,,L2J,,AEROMEXICO,AMX,,Wells Fargo Trust Co Na Trustee,,,2023-11-30,,2014-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,No ADS-B Emitter Category Information
e4818b,PT-MUC,BOEING,Boeing,777 32WER,B77W,37666,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800b26,VT-TTE,AIRBUS,Airbus,A320 232SL,A320,6343,,L2J,,,VTI,,Vistara,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a5e72f,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
75823d,RP-C8619,AIRBUS,Airbus,A320 214,A320,5315,,L2J,,PHILIPPINE,PAL,,Philippine Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4b8682,TC-ATB,AIRBUS,Airbus,A321 211,A321,1503,,L2J,,ATLASJET,KKK,,Atlasglobal,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a65f96,N51FC,,Cirrus Design Corp,SF50,,0006,,,,,,,Higher Flight Llc,,,2021-09-30,,2016-01-01,,,WILLIAMS FJ33-5A,false,false,false,,
a37308,N321LG,,Cessna,T210M,,21062769,,,,,,,Laughing Gull Aviation Inc,,,2023-01-31,,1978-01-01,,,CONT MOTOR TSIO-520 SER,false,false,false,,Light (< 15500 lbs)
a03427,N112FJ,DASSAULT,Dassault Aviation,FALCON 2000,F2TH,112,,L2J,,,,,Jaab Group Llc,,,2023-02-28,,2000-01-01,,,ALLIEDSIGN CFE-738 SER,false,false,false,,
76cd69,9V-SKI,AIRBUS,Airbus,A380 841,A388,34,,L4J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
100000,F-JBWO,,Pipistrel,Pipistrel Alpha Trainer,ULAC,858 AT 912B,,,,,,,Private,,,,,,,,,false,false,false,,
407377,G-IASB,RAYTHEON,Textron Aviation Inc,BEECH B200GT Super Kingair,BE20,BY-278,,L2T,,,,,Ias Medical Ltd,,2017-08-08,,,2017-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-52&nbsp;&nbsp;( HARTZELL HC-E4N-3A/NC9208K )<br>,false,false,false,,
781206,B-8850,AIRBUS,Airbus,A320 214,A320,5260,,L2J,,SPRAY,CBG,,Gx Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4b8e05,TC-CPE,BOEING,Boeing,737NG 82R/W,B738,38178,,L2J,,SUNTURK,PGT,,Pegasus Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7ca03,N6003C,,Beech,C23,,M-2113,,,,,,,Roelink Henk,,,2023-01-31,,1979-01-01,,,LYCOMING O&VO-360 SER,false,false,false,,
78076d,B-2087,BOEING,Boeing,Boeing 777-39L(ER),B77W,38672,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
406016,G-EZTM,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,4014,,L2J,,EASY,EZY,,Easyjet Airline,,2009-08-20,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,false,false,false,,No ADS-B Emitter Category Information
c81e05,ZK-OKP,BOEING,Boeing,777 319ER,B77W,39041,,L2J,Air New Zealand,NEW ZEALAND,ANZ,NZ,Air New Zealand,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c56f6,D-AEWV,AIRBUS,Airbus,A320 214SL,A320,7545,,L2J,,EUROWINGS,EWG,,Eurowings,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a9b27c,N724AV,AIRBUS,Airbus,A320-214,A320,6153,,L2J,, S.A.,AVA,,Wells Fargo Trust Co Na Trustee,,,2023-07-31,,2014-01-01,,,CFM INTL CFM56-5B4/3,false,false,false,,
896355,A6-ETR,BOEING,Boeing,777 3FXER,B77W,41701,,L2J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8405aa,JA01JC,ATR,Avions De Transport Regional,ATR 42 600,AT46,1215,,L2T,Japan Air Commuter,COMMUTER,JAC,,Japan Air Commuter,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800c94,VT-IHW,AIRBUS,Airbus Industrie,,A320,2097,,L2J,Indigo Airlines,IFLY,IGO,6E,Castlelake,,,,,,,,,false,false,false,,
aaf179,N804HS,,Cirrus Design Corp,SR22T,,1403,,,,,,,Bb Co Llc,,,2024-01-31,,2016-01-01,,,CONT MOTOR TSIO-550-K,false,false,false,,Light (< 15500 lbs)
ac90f3,N909DN,,Boeing,737-900ER,,64880,,,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2021-11-30,,2018-01-01,,,CFM INTL CFM56-7B27E/B,false,false,false,,
88044b,HS-ABK,AIRBUS,Airbus,A320 216,A320,4088,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0a0089,7T-VUW,ATR,Avions De Transport Regional,ATR 72 600,AT76,1266,,L2T,Air Algerie,AIR ALGERIE,DAH,AH,Air Algerie,F-WWES,2015-07-31,,,2015-01-01,,,2 x PWC PW127M,false,false,false,,No ADS-B Emitter Category Information
76aa71,9V-JSQ,AIRBUS,Airbus,A320 232SL,A320,5390,,L2J,,JETSTAR ASIA,JSA,,Jetstar Asia Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
406f76,G-ZBKJ,BOEING,Boeing Company,BOEING 787-9 Dreamliner,B789,38626,,L2J,,SPEEDBIRD,BAW,,British Airways,,2016-04-28,,,2016-01-01,,,2 x ROLLS-ROYCE Trent 1000-J2<br>,false,false,false,,Heavy (> 300000 lbs)
a54877,N44CA,,Cessna,R182,,R18201556,,,,,,,Wiley Commercial Property Consulting Inc,,,2023-11-30,,1980-01-01,,,LYCOMING 0-540 SERIES,false,false,false,,
a008cc,N101DX,,Mooney,M20R,,29-0221,,,,,,,Patierno David M,,,2021-08-31,,2000-01-01,,,CONT MOTOR IO-550 SERIES,false,false,false,,Light (< 15500 lbs)
ab4316,N8247T,,Piper,PA-32R-301,,32R-8213056,,,,,,,Saratoga Skies Llc,,,2022-10-31,,1982-01-01,,,LYCOMING IO-540 SER,false,false,false,,
4000fb,VP-BDM,AIRBUS,Airbus,A319 111,A319,2069,,L2J,,,,,Aurora,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
881052,HS-DBR,BOEING,Boeing,737NG 86N/W,B738,43420,,L2J,,NOK AIR,NOK,,Nok Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a2e0ef,N285DX,IAI,Iai Ltd,GULFSTREAM G280,G280,2026,,L2J,,,,,Dsg Finance Llc,,,2022-12-31,,2013-01-01,,,HONEYWELL AS907-2-1G,false,false,false,,Small (15500 to 75000 lbs)
a2c2ef,N27701,,Piper,PA-31-325,,31-7812096,,,,,,,Secure Aviation Inc,,,2024-03-31,,1978-01-01,,,LYCOMING TI0-540 SER,false,false,false,,Light (< 15500 lbs)
a7907c,N587FX,,Bombardier Inc,BD-100-1A10,,20712,,,,,,,Tvpx Aircraft Solutions Inc Trustee,,,2023-12-31,,2017-01-01,,,HONEYWELL AS907-2-1A,false,false,false,,Small (15500 to 75000 lbs)
7c3635,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
71c265,HL8265,AIRBUS,Airbus,A321 231,A321,5287,,L2J,,ASIANA,AAR,,Asiana Airlines,,,,,,,,,false,false,false,,
7c49db,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a3bd58,N340AK,,Bombardier Inc,CL-600-2B16,CL64,5405,,,,,,,Oakair Ltd,,,2022-10-31,,1999-01-01,,,GE CF34 SERIES,false,false,false,,
7810b2,B-3245,EMBRAER,Embraer,EMB-195 LR,E195,19000723,,L2J,,,GCR,,Tianjin Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a7c28d,N6A,EMBRAER,Embraer Executive Aircraft Inc,EMB-505,E55P,50500403,,L2J,,,,,Randolph Aviation Llc,,,2023-04-30,,,,,,false,false,false,,Small (15500 to 75000 lbs)
4b1800,HB-JCI,,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),,55023,,,Swiss International Air Lines,SWISS,SWR,LX,Lhami Leasing Limited,,2018-04-20,,,2018-01-01,,,PRATT & WHITNEY PW1524G-3,false,false,false,,Large (75000 to 300000 lbs)
a10568,N165MV,EMBRAER,Embraer,Phenom 300,E55P,50500399,,L2J,,,,,Latitude 33 Aviation Llc,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
76ce96,9V-STV,AIRBUS,Airbus,A330 343E,A333,1427,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0d82c2,YV625T,BOEING,Boeing,737 33A,B733,25010,,L2J,,,,,Estelar Latinoamerica,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0c208e,HP-1831CMP,BOEING,Boeing,737NG 8V3/W,B738,40788,,L2J,,COPA,CMP,,Copa Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9b4f4,N7241S,,Cessna,182P,,18265085,,,,,,,Watrous David S Trustee,,,2024-04-30,,1976-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
a8b561,N660MW,RAYTHEON,Beech,1900D,B190,UE-215,,L2T,,,,,Marvin Lumber And Cedar Co,,,2024-01-31,,1996-01-01,,,P&W CANADA PT6A-67D,false,false,false,,
a04dc2,N119BG,RAYTHEON,Raytheon Aircraft Company,HAWKER 800XP,H25B,258681,,L2J,,,,,Rer Investments Llc,,,2023-08-31,,2004-01-01,,,HONEYWELL TFE-731-SER,false,false,false,,
aae371,N800SD,RAYTHEON,Raytheon Aircraft Company,400A,BE40,RK-270,,L2J,,,,,Aircraft Charter Group Llc,,,2023-08-31,,2000-01-01,,,P&W CANADA JT15D 5 SER,false,false,false,,Small (15500 to 75000 lbs)
a8ee45,N67495,,Cessna,152,,15281866,,,,,,,Shannon School Of Aeronautics Llc,,,2021-10-31,,1978-01-01,,,LYCOMING 0-235 SERIES,false,false,false,,
0c602e,9Y-JMD,BOEING,Boeing,737NG 8Q8/W,B738,30720,2235,L2J,Caribbean Airlines,CARIBBEAN AIRLINES,BWA,BW,Air Jamaica,N1787B,2014-10-15,,,2007-01-01,,,,false,false,false,,No ADS-B Emitter Category Information
7c16e1,VH-ESZ,LEONARDO,"Agusta, Spa, Construzioni Aeronautiche",AW139,A139,31125,,H2T,,,,,State Of Queensland Represented By Public Safety Business Agency,,,,,2008-01-01,,,2x Pratt & Whitney Canada PT6C-67C,false,false,false,,Rotorcraft
a94b50,N69838,BOEING,Boeing,737-924ER,B739,60121,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-12-31,,2014-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
a2107b,N232FR,AIRBUS,Airbus,A320-214,A320,6838,,L2J,,FRONTIER FLIGHT,FFT,,Wells Fargo Trust Co Na Trustee,,,2021-11-30,,2015-01-01,,,CFM INTL CFM56-5B4/3,false,false,false,,No ADS-B Emitter Category Information
abb222,N8527Q,BOEING,Boeing,737-800,B738,36946,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2023-04-30,,2017-01-01,,,CFM INTL CFM56-7B27E/F,false,false,false,,No ADS-B Emitter Category Information
a0269f,N109EZ,LEARJET,Learjet Inc,45,LJ45,071,,L2J,,,,,Westriver Management Llc,,,2022-12-31,,2000-01-01,,,ALLIEDSIGN TFE 731-2B,false,false,false,,Small (15500 to 75000 lbs)
4ca84c,EI-EMD,BOEING,The Boeing Company,BOEING 737-8AS,B738,38509,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2010-04-20,,,2010-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
a0f6ab,N161PA,EMBRAER,Embraer-empresa Brasileira De,EMB-500,E50P,50000169,,L2J,,,,,Mccall Patrick A,,,2022-10-31,,2010-01-01,,,P&W CANADA PW617F-E,false,false,false,,
4012d6,G-EHMJ,COLEMILL,Beech Aircraft Corporation,BEECH S35 Bonanza,BE35,D-7879,,L1P,,,,,Private,,2007-06-23,,,1965-01-01,,,1 x CONTINENTAL MOTORS CORP IO-520-BB&nbsp;&nbsp;( HARTZELL PHC-C3YR-1RF/F7663D-2Q )<br>,false,false,false,,Small (15500 to 75000 lbs)
78047e,B-5351,BOEING,Boeing,737NG 85N/W,B738,36194,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
601832,EZ-A020,BOEING,Boeing,737NG 800/W,B738,61575,,L2J,,TURKMENISTAN,TUA,,Turkmenistan Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a69c47,N525HY,CESSNA,Cessna,Citation CJ1,C525,525-0239,,L2J,,,,,N525hy Llc,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
86d602,JA824J,BOEING,Boeing,787 8,B788,34834,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a76d5a,N578NN,CANADAIR,Bombardier Inc,CL-600-2D24,CRJ9,15381,,L2J,American Airlines,AMERICAN,AAL,AA,American Airlines Inc,,,2021-11-30,,2015-01-01,,,GE CF34-8C5,false,false,false,,
45ac45,OY-KBE,AIRBUS,Airbus,A321 232,A321,1798,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9fc34,N742YX,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000654,,L2J,,BRICKYARD,RPA,,United Airlines Inc,,,2023-05-31,,2017-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
8991b5,B-18307,AIRBUS,Airbus,A330 302,A333,691,,L2J,,DYNASTY,CAL,,China Airlines,,,,,,,,,false,false,false,,
a8d90e,N66970,,Cessna,152,,15281696,,,,,,,California Airways Llc,,,2022-06-30,,1978-01-01,,,LYCOMING 0-235 SERIES,false,false,false,,
781085,B-8646,AIRBUS,Airbus,A320 214SL,A320,7122,,L2J,,AIR SPRING,CQH,,Spring Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
78056e,B-6565,AIRBUS,Airbus,A320 214,A320,3971,,L2J,,SHENZHEN AIR,CSZ,,Shenzhen Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
39968b,F-HFUL,AIRBUS,Airbus,A320 214,A320,2180,,L2J,,AIGLE AZUR,AAF,,Aigle Azur,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
018086,5A-WLA,AIRBUS,Airbus,A319 112,A319,2878,,L2J,,,,,Libyan Wings,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
750452,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a1dbc0,N219JG,SWEARINGEN,Raytheon Aircraft Company,C90A,BE9L,LJ-1470,,L2T,International Jet Aviation Services,I-JET,IJA,,International Jet Aviation Services Inc,,,2023-03-31,,,,,,false,false,false,,
78040b,B-5347,BOEING,Boeing,737NG 85N/W,B738,36190,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac4adb,N891UP,,Textron Aviation Inc,B300,,FL-1136,,,,,,,Bank Of Utah Trustee,,,2021-06-30,,2018-01-01,,,P&W CANADA PT6A-60A,false,false,false,,Light (< 15500 lbs)
86dc9a,JA840A,BOEING,Boeing,787 8,B788,34518,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
76d258,9V-TRX,AIRBUS,Airbus,A320 232SL,A320,5662,,L2J,,GO CAT,TGW,,Scoot,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a4a8af,N4HS,,Gulfstream Aerospace,G-IV,,1382,,,,,,,Fluffy Russian Llc,,,2023-02-28,,2000-01-01,,,ROLLS-ROYC TAY 611SER,false,false,false,,Small (15500 to 75000 lbs)
3c09f4,D-ASTZ,AIRBUS,Airbus,A319 112,A319,3019,,L2J,,GERMANIA,GMI,,Germania,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a97b5b,N71SY,CESSNA,Cessna,525,C25M,525-0831,,L2J,,,,,Silver Wing At Sandpoint Llc,,,2023-02-28,,2014-01-01,,,WILLIAMS FJ44-1AP,false,false,false,,Light (< 15500 lbs)
a43bd1,N372GB,,Hawker Beechcraft Corp,HAWKER 900XP,,HA-0166,,,,,,,Palanga Logistics Llc,,,2022-05-31,,2010-01-01,,,HONEYWELL TFE731-50R,false,false,false,,
a53317,N434MK,DE HAVILLAND CANADA,Bombardier Inc,DHC-8-402,DH8D,4227,,L2T,,HORIZON AIR,QXE,,Horizon Air Industries Inc,,,2021-10-31,,2008-01-01,,,P&W CANADA PW150A,false,false,false,,Small (15500 to 75000 lbs)
a0279a,N109R,,Hawker Beechcraft Corp,HAWKER 900XP,H900,HA-0076,,,,,,,Capital Air Sc Llc,,,2023-01-31,,2008-01-01,,,HONEYWELL TFE731-50R,false,false,false,,Small (15500 to 75000 lbs)
8991c0,B-18353,AIRBUS,Airbus,A330 302,A333,920,,L2J,,DYNASTY,CAL,,China Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780aa7,B-LPQ,AIRBUS,Airbus,A320 214SL,A320,7077,,L2J,,BAUHINIA,CRK,,Hong Kong Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7d7a2,N604RR,,Bombardier Inc,CL-600-2B16,CL64,5504,,,,,,,C&s Challenger 1 Llc,,,2023-11-30,,2001-01-01,,,GE CF34 SERIES,false,false,false,,Small (15500 to 75000 lbs)
a2f111,N289SY,,Embraer S A,ERJ 170-200 LL,,17000756,,,Skywest Airlines,OZWEST,OZW,,Skywest Airlines Inc,,,2021-10-31,,2018-01-01,,,GE CF34-8E5,false,false,false,,
aca000,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a1c7ec,N21362,,Cessna,182P,,18261587,,,,,,,Joyce James R,,,2023-11-30,,1972-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
758527,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
75841b,RP-C3347,AIRBUS,Airbus,A330 343E,A333,1712,,L2J,,CEBU AIR,CEB,,Cebu Pacific Air,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
740732,JY-AYR,AIRBUS,Airbus,A320 232,A320,4817,,L2J,,JORDANIAN,RJA,,Royal Jordanian Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
896110,A6-ECI,BOEING,Boeing,777 31HER,B77W,35580,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a28a2c,N263AK,BOEING,Boeing,737-990ER,B739,62471,,L2J,, Inc.,ASA,,Alaska Airlines Inc,,,2022-09-30,,2016-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
4cc2ac,TF-FIG,BOEING,Boeing,757 23APF,B752,24456,,L2J,,ICEAIR,ICE,,Icelandair,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780ab2,B-LCL,AIRBUS,Airbus,A320 271NSL,A20N,7209,,L2J,,HONGKONG SHUTTLE,HKE,,Hong Kong Express Airways,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a98445,N712JB,AIRBUS,Airbus,A320-232,A320,3517,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2023-08-31,,2008-01-01,,,IAE V2527-A5,false,false,false,,No ADS-B Emitter Category Information
ab6457,N833JR,,Cirrus Design Corp,SR22T,,1460,,,,,,,Reading Air Llc,,,2023-01-31,,2016-01-01,,,CONT MOTOR TSIO-550-K,false,false,false,,Light (< 15500 lbs)
4072ea,G-VWOO,,,Boeing 787-9,,,,,Virgin Atlantic Airways,VIRGIN,VIR,VS,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
